order_id,customer_id,product_name,category,quantity,unit_price,order_date
1001,C001,Laptop Dell XPS 15,Electronics,1,1800.0,2026-01-10
1002,C002,Wireless Mouse,Electronics,2,25.0,2026-01-11
1003,C003,Office Chair,Furniture,1,250.0,2026-01-12
1004,C001,Mechanical Keyboard,Electronics,1,120.0,2026-01-15
1005,C004,Standing Desk,Furniture,1,450.0,2026-01-18
1006,C005,Monitor 4K 27inch,Electronics,2,350.0,2026-01-20
1007,C002,USB-C Hub,Electronics,3,40.0,2026-01-22
1008,C006,Desk Lamp,Furniture,2,30.0,2026-01-25
1009,C003,Noise Cancelling Headphone,Electronics,1,299.0,2026-01-28
1010,C007,Footrest,Furniture,1,45.0,2026-01-30
